33001;Allande;Allande;Q737380
33002;Aller;Aller;Q537483
33003;Amieva;Amieva;Q470989
33004;Avilés;Avilés;Q14649
33005;Belmonte de Miranda;Belmonte de Miranda;Q695463
33006;Bimenes;Bimenes;Q818321
33007;Boal;Boal;Q640974
33008;Cabrales;Cabrales;Q58343
33009;Cabranes;Cabranes;Q818383
33010;Candamo;Candamo;Q737356
33012;Cangas de Onís;Cangas de Onís;Q225515
33011;Cangas del Narcea;Cangas del Narcea;Q737421
33013;Caravia;Caravia;Q847313
33014;Carreño;Carreño;Q737389
33015;Caso;Caso (Asturias);Q56177
33016;Castrillón;Castrillón;Q653861
33017;Castropol;Castropol;Q826607
33018;Coaña;Coaña;Q695449
33019;Colunga;Colunga;Q578502
33020;Corvera de Asturias;Corvera de Asturias;Q653895
33021;Cudillero;Cudillero;Q818372
33022;Degaña;Degaña;Q695519
33023;Franco, El;El Franco;Q736022
33024;Gijón;Gijón;Q12273
33025;Gozón;Gozón;Q818366
33026;Grado;Grado (Asturias);Q617580
33027;Grandas de Salime;Grandas de Salime;Q695452
33028;Ibias;Ibias;Q818379
33029;Illano;Illano;Q919022
33030;Illas;Illas;Q826613
33031;Langreo;Langreo;Q493806
33032;Laviana;Laviana (Asturias);Q820461
33033;Lena;Lena (Asturias);Q1031286
33035;Llanera;Llanera;Q744114
33036;Llanes;Llanes;Q503094
33037;Mieres;Mieres;Q818376
33038;Morcín;Morcín;Q652734
33039;Muros de Nalón;Muros de Nalón;Q842716
33040;Nava;Nava (Asturias);Q946280
33041;Navia;Navia (Asturias);Q668795
33042;Noreña;Noreña;Q816255
33043;Onís;Onís;Q946233
33044;Oviedo;Oviedo;Q14317
33045;Parres;Parres;Q818327
33046;Peñamellera Alta;Peñamellera Alta;Q740381
33047;Peñamellera Baja;Peñamellera Baja;Q842694
33048;Pesoz;Pesoz;Q386280
33049;Piloña;Piloña;Q818363
33050;Ponga;Ponga;Q695529
33051;Pravia;Pravia;Q820469
33052;Proaza;Proaza;Q904816
33053;Quirós;Quirós;Q842688
33054;Regueras, Las;Las Regueras;Q842644
33055;Ribadedeva;Ribadedeva;Q842638
33056;Ribadesella;Ribadesella;Q591580
33057;Ribera de Arriba;Ribera de Arriba;Q842661
33058;Riosa;Riosa;Q932835
33059;Salas;Salas;Q816249
33061;San Martín de Oscos;San Martín de Oscos;Q842671
33060;San Martín del Rey Aurelio;San Martín del Rey Aurelio;Q818368
33063;San Tirso de Abres;San Tirso de Abres;Q842655
33062;Santa Eulalia de Oscos;Santa Eulalia de Oscos;Q842692
33064;Santo Adriano;Santo Adriano;Q932781
33065;Sariego;Sariego;Q911122
33066;Siero;Siero;Q744130
33067;Sobrescobio;Sobrescobio;Q911078
33068;Somiedo;Somiedo;Q842668
33069;Soto del Barco;Soto del Barco;Q529744
33070;Tapia de Casariego;Tapia de Casariego;Q826603
33071;Taramundi;Taramundi;Q842685
33072;Teverga;Teverga;Q692118
33073;Tineo;Tineo;Q842632
33034;Valdés;Valdés;Q695499
33074;Vegadeo;Vegadeo;Q818319
33075;Villanueva de Oscos;Villanueva de Oscos;Q240729
33076;Villaviciosa;Villaviciosa;Q842648
33077;Villayón;Villayón;Q820453
33078;Yernes y Tameza;Yernes y Tameza;Q911112