01001;Alegría-Dulantzi;Alegría de Álava;Q1330796
01002;Amurrio;Amurrio;Q481760
01049;Añana;Añana;Q1113405
01003;Aramaio;Aramayona;Q976743
01006;Armiñón;Armiñón;Q1113519
01037;Arraia-Maeztu;Arraya-Maestu;Q1369040
01008;Arratzua-Ubarrundia;Arrazua-Ubarrundia;Q1368923
01004;Artziniega;Arceniega;Q587131
01009;Asparrena;Aspárrena;Q1368957
01010;Ayala/Aiara;Ayala (Álava);Q1368772
01011;Baños de Ebro/Mañueta;Baños de Ebro;Q1382239
01013;Barrundia;Barrundia;Q961216
01014;Berantevilla;Berantevilla;Q1368868
01016;Bernedo;Bernedo;Q1368822
01017;Campezo/Kanpezu;Campezo;Q1373973
01021;Elburgo/Burgelu;Elburgo;Q1382246
01022;Elciego;Elciego;Q1368834
01023;Elvillar/Bilar;Elvillar;Q1368805
01046;Erriberagoitia/Ribera Alta;Ribera Alta (Álava);Q1633915
01056;Harana/Valle de Arana;Valle de Arana;Q1382230
01901;Iruña Oka/Iruña de Oca;Iruña de Oca;Q1382293
01027;Iruraiz-Gauna;Iruraiz-Gauna;Q1443812
01019;Kripan;Cripán;Q1369053
01020;Kuartango;Cuartango;Q1368846
01028;Labastida/Bastida;Labastida;Q1155351
01030;Lagrán;Lagrán;Q1382223
01031;Laguardia;Laguardia;Q303629
01032;Lanciego/Lantziego;Lanciego;Q1443959
01902;Lantarón;Lantarón;Q1447382
01033;Lapuebla de Labarca;Lapuebla de Labarca;Q1445242
01036;Laudio/Llodio;Llodio;Q676903
01058;Legutio;Villarreal de Álava;Q1611490
01034;Leza;Leza (Álava);Q1382266
01039;Moreda de Álava/Moreda Araba;Moreda de Álava;Q1442886
01041;Navaridas;Navaridas;Q1442870
01042;Okondo;Oquendo;Q1368782
01043;Oyón-Oion;Oyón;Q581589
01044;Peñacerrada-Urizaharra;Peñacerrada;Q1452675
01047;Ribera Baja/Erribera Beitia;Ribera Baja (Álava);Q1445256
01051;Salvatierra/Agurain;Salvatierra (Álava);Q398698
01052;Samaniego;Samaniego (Álava);Q943857
01053;San Millán/Donemiliaga;San Millán (Álava);Q1616072
01054;Urkabustaiz;Urcabustaiz;Q1445218
01055;Valdegovía/Gaubea;Valdegovía;Q1452684
01057;Villabuena de Álava/Eskuernaga;Villabuena de Álava;Q1443518
01059;Vitoria-Gasteiz;Vitoria;Q14318
01060;Yécora/Iekora;Yécora (Álava);Q1443585
01061;Zalduondo;Zalduendo de Álava;Q1443609
01062;Zambrana;Zambrana;Q1113094
01018;Zigoitia;Cigoitia;Q1443528
01063;Zuia;Zuya;Q228613